27/10/2021	12:56
Experiment Type:	Sizing
Pseudo Cross Correlation
Scattering angle:	15.0
Duration (s):	60
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.980
Temperature (K):	294.0
Laser intensity (mW):	0.131075
Average Count rate  A (kHz):	248.4
Average Count rate  B (kHz):	233.0
Intercept:	1.0000
Cumulant 1st	-Inf
Cumulant 2nd	-Inf	NaN
Cumulant 3rd	-Inf	NaN

Lag time (s)         g2-1
22.911386	250.988007	231.685638
22.963814	252.952576	236.225128
23.016243	244.770050	229.530334
23.068672	247.993469	232.334137
23.121101	243.301392	227.279663
23.173530	242.938995	227.985382
23.225958	240.726471	227.317810
23.278387	243.988037	226.821899
23.330816	241.413116	227.375031
23.383245	246.829987	230.770111
23.435674	245.018005	231.761932
23.488102	250.568390	235.557556
23.540531	249.080658	238.304138
23.592960	253.372192	239.105225
23.645389	253.734589	238.933563
23.697818	249.843597	231.361389
23.750246	250.015259	236.415863
23.802675	247.211456	234.031677
23.855104	254.745483	238.838196
23.907533	260.257721	243.072510
23.959962	268.554687	250.854492
24.012390	263.404846	248.298645
24.064819	271.682739	257.911682
24.117248	272.750854	256.958008
24.169677	279.693604	261.631012
24.222106	270.137787	253.238678
24.274534	264.911652	246.334076
24.326963	265.445709	249.176025
24.379392	257.015228	240.364075
24.431821	261.802673	241.718292
24.484250	255.603790	240.077972
24.536678	253.868103	234.394073
24.589107	256.137848	238.361359
24.641536	251.693726	234.584808
24.693965	252.208710	235.176086
24.746394	251.064301	236.701965
24.798822	247.631073	231.552124
24.851251	248.584747	236.759186
24.903680	250.892639	233.821869
24.956109	256.175995	242.633820
25.008538	252.647400	236.854553
25.060966	254.364014	233.192444
25.113395	255.851746	239.067078
25.165824	259.113312	244.274139
25.218253	258.293152	237.407684
25.270682	257.606506	243.320465
25.323110	250.511169	240.783691
25.375539	257.873535	237.731934
25.427968	255.737305	240.097046
25.480397	254.688263	239.849091
25.532826	247.364044	232.887268
25.585254	254.116058	231.323242
25.637683	246.658325	231.609344
25.690112	258.045197	238.265991
25.742541	254.173279	239.830017
25.794970	257.129669	238.056183
25.847398	255.870819	241.756439
25.899827	258.693695	237.827301
25.952256	256.290436	239.257812
26.004685	255.146027	240.383148
26.057114	261.363983	248.908997
26.109542	263.385773	252.437592
26.161971	260.715485	245.456696
26.214400	258.083344	245.037079
26.266829	257.186890	241.947174
26.319258	266.113281	247.612000
26.371686	256.252289	244.331360
26.424115	260.486603	242.767334
26.476544	261.211395	247.058868
26.528973	258.617401	246.982574
26.581402	258.426666	240.249634
26.633830	257.434845	242.404938
26.686259	257.873535	242.233276
26.738688	257.930756	244.426727
26.791117	258.941650	246.791840
26.843546	258.960724	244.159698
26.895974	257.186890	242.424011
26.948403	258.846283	243.225098
27.000832	254.802704	244.274139
27.053261	259.437561	240.173340
27.105690	251.655579	236.682892
27.158118	258.789062	239.639282
27.210547	261.917114	241.088867
27.262976	255.146027	240.058899
27.315405	250.358582	239.257812
27.367834	253.887177	238.399506
27.420262	257.816315	240.192413
27.472691	255.451202	241.641998
27.525120	257.587433	246.963501
27.577549	260.410309	246.620178
27.629978	265.522003	248.756409
27.682406	271.644592	255.813599
27.734835	250.568390	237.255096
27.787264	256.881714	239.295959
27.839693	259.914398	239.505768
27.892122	258.426666	241.546631
27.944550	253.200531	236.282349
27.996979	247.020721	231.361389
28.049408	242.042542	231.990814
28.101837	247.859955	229.949951
28.154266	250.854492	240.211487
28.206694	258.350372	238.399506
28.259123	265.083313	243.835449
28.311552	263.977051	242.328644
28.363981	252.895355	240.154266
28.416410	247.783661	230.369568
28.468838	254.058838	242.881775
28.521267	257.797241	243.129730
28.573696	255.641937	239.028931
28.626125	258.731842	242.424011
28.678554	255.393982	236.034393
28.730982	255.165100	235.538483
28.783411	253.353119	240.879059
28.835840	251.483917	240.287781
28.888269	247.230530	230.216980
28.940698	250.225067	232.486725
28.993126	250.911713	233.650208
29.045555	247.135162	227.603912
29.097984	246.295929	226.249695
29.150413	248.222351	228.443146
29.202842	253.257751	239.181519
29.255270	248.489380	235.805511
29.307699	257.720947	236.701965
29.360128	261.306763	238.437653
29.412557	254.020691	237.617493
29.464986	253.009796	238.895416
29.517414	253.314972	235.996246
29.569843	252.285004	236.587524
29.622272	251.178741	236.415863
29.674701	252.971649	232.353210
29.727130	247.249603	237.522125
29.779558	249.881744	237.941742
29.831987	254.383087	235.042572
29.884416	253.582001	241.451263
29.936845	262.432098	238.227844
29.989274	253.486633	240.879059
30.041702	257.320404	237.426758
30.094131	251.007080	242.004395
30.146560	253.448486	235.996246
30.198989	254.173279	235.042572
30.251418	255.699158	236.282349
30.303846	254.230499	235.939026
30.356275	251.884460	241.260529
30.408704	258.159637	241.279602
30.461133	249.671936	237.026215
30.513562	254.764557	240.402222
30.565990	256.900787	240.039825
30.618419	254.917145	240.173340
30.670848	253.372192	235.214233
30.723277	257.396698	237.789154
30.775706	251.445770	241.451263
30.828134	254.707336	239.620209
30.880563	251.674652	234.298706
30.932992	243.186951	230.712891
30.985421	246.829987	233.955383
31.037850	244.979858	232.849121
31.090278	248.641968	236.549377
31.142707	257.854462	243.854523
31.195136	256.214142	234.317780
31.247565	254.898071	237.579346
31.299994	248.622894	237.751007
31.352422	254.478455	236.377716
31.404851	248.451233	233.268738
31.457280	253.105164	238.552094
31.509709	261.974335	239.067078
31.562138	267.639160	248.641968
31.614566	261.116028	246.467590
31.666995	258.865356	250.968933
31.719424	264.377594	249.385834
31.771853	258.159637	239.219666
31.824282	257.034302	240.840912
31.876710	255.737305	238.590240
31.929139	255.622864	237.350464
31.981568	255.603790	233.879089
32.033997	250.091553	236.740112
32.086426	251.178741	232.086182
32.138854	258.045197	238.914490
32.191283	252.017975	236.339569
32.243712	256.061554	236.244202
32.296141	255.222321	236.587524
32.348570	255.107880	236.396790
32.400998	252.628326	238.819122
32.453427	253.505707	234.966278
32.505856	253.696442	235.557556
32.558285	253.810883	235.233307
32.610714	246.982574	231.800079
32.663142	250.396729	235.519409
32.715571	252.361298	235.977173
